Text, Accurate Emojis, Suitable Emojis
"no, don't run. Troll him and make fun of him without him realizing it 😂", T, 1 0 0 0
"best in speed reading without comprehension ......... 😂👏", T, 0 1 0 0
"You remember what happened last time 😒 No actually I don't, I can't recall even tho you bring it up once a day.", T, 0 0 1 0
"Thank you government for taking some of my hard earned money! 👌", F, 0 1 1 0
"None of these people get very telling of cognitive deficiencies 😕 I feel", T, 0 0 1 0
"That's okay! It's not like I wanted an invite or anything! It's all cool... Not! 😂 😏 👌", F, 0 1 1 1
"And I can't access the files in my e-mail because I already put it in my desktop's Archive. GOOD JOB!!!! 👏🏼👏🏼👏🏼", F, 0 1 0 0
"When u go to work and get called a loser 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊 :) ", F, 0 1 0 1
"I have service BC I'm at my cousins house but love my back 😅", T, 0 0 0 0
"That shitty feeling we all love so much 😊", F, 0 1 0 0
"1,200 Guns, 2 Tons of Ammo Found at Upscale Home ; I am sure it was for strictly recreational purposes 😏", T, 1 0 0 0
"Another night of fantastic camerawork for . Please stop the nauseating 360s and constant angle changes. 🙏", T, 0 0 1 0
"My day is ending how it started. 😄", T, 1 0 0 0
"Weather report says rain Well it seems the weather is not feeling completely that way 🌂💁⛅", T, 0 0 1 0
"Drilling outside my house early in the morning always makes me happy... 😒", T, 0 0 1 0
"Had a shit day. Now starting a shit day 😒😒", T, 0 0 1 0
"Best night ever. Like you all don't understand😒", T, 0 0 1 0
"I knew you'd pick up on my ;)) Terri... Was great to see you 😊", F, 0 1 0 0
"Happy tt .......take that how you want lol or 😂😂😂", T, 0 1 0 0
"I love how everyone is texting me 😊", F, 0 1 0 0
"Lets hear it for being sick in the 2nd trimester 😩", T, 0 0 1 0
"Oh boy, this is gonna be a super fun meeting. Thank God I just had a Starbucks delivery. 😉☕️❤️", T, 1 0 0 0
"told you to work on your 😜 relax... One day you will need to interview players AND owners. Think long haul bro.", T, 0 0 0 0
"Does feature the murder of a female character as a plot device to further a male narrative? Because that's SO unusual. 😴", T, 0 0 1 0
"gotcha I could totally detect that from text 😏 not", F, 0 1 0 0
"I just love when anxiety hits and there's nothing you can do! 😭", T, 0 0 0 1
"Getting scammed on some MJ is pretty cool.. 😒", T, 0 0 1 0
"It's nice to see that stuff on Claire's twitter😅", T, 0 0 1 0
"there's a difference, can't you see? It was COMFORTABLE w Hayes 😦", F, 0 1 0 0
"watch gypsy sisters on TLC , best ever 😂😂😂", T, 1 0 0 0
"You are SO going places with your life 👏", F, 0 1 1 1
"We are sending out children a beautiful message 👎🏻", T, 0 0 1 0
"Multiple jobs interviews this week and in the mist of it all I might need surgery 😄 oh fuck yeah", F, 0 1 0 1
"I love how much you respect me 😊😊😊😊😊😊😊😊😊😊😊😊😊😊", F, 0 1 0 0
"There's nothing better than being stuck on a ferry 👍🏼👍🏼", F, 0 1 0 0
"Me and have bond that no other brother and sister have. Always loving each other to the fullest ❤️", T, 0 0 0 0
"The irony of you insinuating those two girls are trolls. Congratulations on your wanker ways 👍", F, 0 1 0 0
"SEVEN years in the making 🙌🏼🙌🏼🙌🏼🙌🏼", T, 0 0 0 0
"Always thankful for my mom for her amazing support 👍🏼", F, 0 1 1 0
"People saying Richard Jefferson isnt done coz of his dunk last Feb...😂😂😂 he wont be playing more than 10mins tho. Nice pickup.", T, 1 0 0 0
"Im so proud of myself for that one😊😊", T, 1 0 0 0
"Hey guys, great idea: why don't we just keep Avila forever? He's obviously the best player in the AL😍👌🏼🔥", F, 0 1 1 1
"Start the day right sweetie. 🌞🙌😹🎈", T, 1 0 0 0
"Killin' his ERA-and team's. He wasn't expecting to pitch til tomorrow. Threw him off. 😜", T, 0 1 0 0
"Boy, this beef is right up there with Biggie & Tupac. 😒 😴", T, 0 0 1 0
"I love when people do their job half way & I have to stay late, go behind them, & do their job while they go home 😡", T, 0 1 0 0
"I love work so much that I'm missing two concerts this week just to go to work. 😑", T, 0 1 0 0
"Buzzing for this First Aid course today 👷🏻", T, 0 1 0 0
"My cat's so smart she can open the door from the inside, but not the outside...even though it's exactly the same. 😒", T, 0 0 1 0
"Figured out why white don't "riot" or protest when they get killed or do "thug@ ish...bc they're suffering from mental illness 😒", T, 0 0 0 1
"I love getting 5 hours of sleep 👍🏻", F, 0 1 0 0
"says armpit hair is not OK in new commercial I'm offended! 😁", T, 0 0 1 0
"With summer clothes on I'm enjoying the balmy 11degree weather on the deck . ❄️ Share your", T, 0 0 1 0
"I really know how to pick the best landlords. 🔫😒", T, 0 0 1 0
"I love when my parents ask me what happened to a girl I talked too 😂", T, 0 0 1 0
"If God didn't want me to binge watch , xe wouldn't have put it on 😜", T, 0 0 1 0
"Man can't wait for college to start😒", T, 0 0 1 0
"Haha that will just make it even better 😂😁😊", T, 0 0 1 0
"🙈 Ah man... Not again. I always do that.", F, 0 0 0 1
"Wow... heels on women's shoes are getting way outta control! 👠 😏", T, 0 0 0 1
"Glad I have such great friends ☺️ besides bc he rocks", T, 0 0 1 0
"Watched 👻 The Jump-Scares were very original, unlike any other horror film.", T, 0 0 1 0
"Noche de How I met your mother, wuu 🎉👌🏻", T, 0 0 1 0
"Ah, yes. I love going to sleep to a symphony of bird chirps and a sunrise 🌄", T, 0 0 1 0
"What another lovely summers day 😐 ☔️ I feel like I've been asleep and woke up in October!", T, 0 0 0 1
"I thought he was a country singer.. Oops 😂💁🏽", T, 0 0 1 0
"Love having blisters at the bottom of my feet 😒", T, 0 0 0 1
"Photo: Sometimes I’m not sure myself…. 😒", T, 0 0 0 1
"They are annoying as shit! Oh wait...I said shit...oh nooooo!!! How horrible of me! 😂", F, 0 0 1 0
"Really good weather to go to the shard today 👌🏼 also brilliant when hungover and dying 😷", T, 0 0 1 0
"Nothing makes my day better than sitting watching boys play the ps4 it honestly brings me so much joy😒😡", T, 0 0 0 1
"Well that wasn't embarrassing at all! Haha 😂😂 shocking I cannot play football at all 😂😂", T, 0 0 1 0
"Now that I hiked up St. Mary's Glacier in CO, I'm pretty sure I'm prepared for all of these! 😉", T, 0 0 1 0
"Oh dear 😆 can't say out loud that I wished for a puncture for nico but...", T, 0 0 1 0
"eppsie's photo sometimes it just makes sense. 😂", F, 0 0 1 0
"Right bc we should really place all our faith in the HOR 😝", T, 0 0 1 0
"When you're in NC, your newly totaled car is in GA, and your family is in TN😊", T, 1 0 0 0
"Lol GOOD MORNING! I'm getting ready for school now 😒 can't wait", T, 0 0 1 1
"HSC trials start today and I'm very excited 😊😊😊", T, 0 0 1 0
"Dude is mad because I'm talking shit about migos 😂😂😂", T, 1 0 0 0
"Voter registration drive training is so so fun 😊😊😊😊😊", T, 1 0 0 0
"Forgive me for being a believer. ✋😌", F, 1 0 0 0
"During the upcoming election that would be "gravy" No NOT really 😉", T, 0 0 1 0
"It's so nice how I make an effort and no one else does 😡", T, 0 1 0 0
"Like, oh my gosh. My closet is a mirror. Now I can totally post my outfits n'stuff.' 😑😂", T, 1 0 1 0
"Hospital hours tomorrow 😌 gotta wake up at 6 am again. Should 've easy. Since you know. I've been waking up at 12pm. 😭", F, 0 0 1 1
"I just got a pat down at the airport Because you know, I'm a dangerous criminal 😎", F, 1 0 0 0
"That excited for work tomorrow I can't sleep now👀😴", T, 0 0 0 0
"Just never really see guys wanting long hair.... 😑", T, 0 0 1 0
"There's no other place id rather be than Greek 102 on a Sunday, the last day of summer, and the day right before school starts 😒", T, 0 0 1 1
"Why am I up so early 😣 and of course I can't sleep now greaat", T, 0 0 0 1
"I mean yeah, let's see how tomorrow feels 🍻 7:30 can't come soon enough", T, 0 0 0 0
"Straight up bitch right there😘💕 love it.", F, 0 1 0 0
"I like how replies to my texts 👍🏻", F, 0 1 0 0
"I love when people decide to get on my phone and text the guy I like 😀😀😀😀😀😀", F, 0 1 0 0
"WOW THAT WAS THE MOST ORIGINAL TWEET I HAVE EVER SEEN 😒♻️♻️♻️♻️♻️", T, 0 0 1 0
"“@gtrevel: Good looking week ahead 😳😳😳😳😳 😂", F, 1 0 0 0
"Yay my wisdom teeth are coming in 😒", T, 0 0 1 0
"Xbox Live is down again 😨 I'm completely shocked 😱 😂", F, 1 0 0 0
"I've had a migraine since 1am...it keeps getting worse. Wonderful start to Monday. 😔", T, 0 0 1 1
"Oh how I love closing and then opening the next day 👍", F, 0 1 0 0
"I sure know how to pick em' whateva 😇", F, 0 1 0 0
"This Monday started off great and is continuing to get better 😒", F, 0 1 1 0
"Yep. Why put up James closest Ally when you can get out someone who is desperate to be your (&amp; Liz's) Lapdog😁", F, 0 1 1 0
"Wow you tweeted me back, wish come true 😢🔫. Good luck supporting/helping other bands out... Great peeps you are", F, 1 0 0 0
"Best birthday gift so far, seeing how much I owe in tuition for the fall semester. 😅", T, 0 0 1 1
"Could barely keep my eyes open on the drive home now I can't sleep 😑😒 Yeah, that's not annoying at all.", T, 0 1 1 1
"Can't access google over SLT internet connections today onwards. 😂😂😂", F, 0 0 1 0
"😳Because building an emotionless killing machine is ALWAYS a good idea!", T, 0 0 1 0
"Nothing better than the sound of your hip popping in the morning 😄", F, 0 0 0 0
"2:00 am and still NO sleep 😳...awesome!!! 👍", F, 0 0 1 1
"Only niggas kill, right? Black on black crime is the real issue too, right? 😑😒", T, 0 0 1 1
"Goodness gracious, if this isn't on point I'm not sure what is 👌", T, 0 0 0 0
"Gun Violence Stats?😒 They're just numbers are higher than any other modern country. What does that prove? wit your numbers", T, 0 0 1 0
"Thank you Tuesday morning for this wonderful headache you have blessed me with 😡", T, 0 1 1 1
"Thank you sun, it's always been my dream to faint because of heat exhaustion 😒🌞", T, 0 0 1 1
"Slumbertime musings. Cheers to all aliens! 😆", T, 1 0 0 0
"Can't wait to read my new book 😂 😜", T, 1 0 0 0
"Another day in Texas paradise 100 degrees of pure fun☀️", F, 0 1 0 1
"The dudes in the Blue Devils' drum line have some cute tan lines. 🙅🏼☀️", T, 0 0 0 0
"lol 😁 I'm not a fan of hard buttons 🔫", T, 1 0 0 0
"Lunch was amazing today 🙈 thanksssssss", F, 0 0 1 0
"Nothing to see here people! 😳😳 islam ain't dangerous", T, 0 0 1 0
"At training camp, I walk up and is intercepted by Therefore the season is DOOMED 💥", T, 0 0 1 0
"I absolutely love when Twitter stops loading 😍", F, 0 1 1 1
"You don't want to be the guy how makes the 3rd out with Capuno. 😔", T, 0 0 0 1
"OMG CONVERSE CAME OUT WITH A SHOE THATS MORE COMFORTABLE!? LETS ALL GO NUT! 😑😑😑😑 Why'd it take so long? That's all IM wondering.", T, 0 0 1 0
"This made me cackle. Stole it from Pinterest 😆", T, 1 0 0 0
"Guess you didn't apply your own theory to my response. 😂😂", T, 1 0 0 0
"Capuno gives walking a bad name. He'll IM driving all over the place now 😕", T, 0 0 1 1
"For we, fangirls &amp; stalkers, rule! 😈", T, 0 0 0 0
"I love that my dad can like my Facebook pictures but can't call, message, text, or speak to me? It's fucking fantastic. 👏🏽👌🏽", F, 0 1 1 0
"why r u flickering my follower Making me think I lost Giving me anxiety. 😂", T, 1 0 1 0
"1. could have been used to make it obvious. 2. Hercules minus naked part killed lion with bare hands 😉", F, 0 1 1 0
"Because doesn't have better things to deal with. Proud to live in this county 😒", T, 0 1 1 1
"aaah sungmean but Im always nice!! 😅😊💙💙 I thought that u already know that my artist.. lol 😂😂", F, 0 1 0 0
"Omfg you whore you kissed one guy!! 😷", T, 0 1 0 0
"I just love when someone uses me to do their assignments, not! Do you know how long that took me. FUDGE DO THEM YOURSELVES! 👊👎", T, 0 1 0 0
"Tips for being hot: 1. Be me, that and only that. HAHA. 😂😂😂😂", T, 1 0 0 0
"how much "air" do they need?! Or will Brady deflate that too?! 😂", T, 1 0 0 0
"Cause were just really serious people... 😏", T, 1 0 0 0
"Oh yes! 😁 though! That kind defines me!", T, 1 0 0 0
"Oh good, I was hoping it'd be super hot again today 😐", T, 0 0 1 0
"Gotta love the orange line ❤️ good morning DC", T, 0 0 0 0
"Bahaha yah, pretty much😂😂 fuck_your_ecards ・・・", F, 0 1 0 0
"Because the UK is known for their good coffee *shakes head* 😝", T, 1 0 0 0
"Lol that's part of being human, its not sin... 😂 he came To show us how.. That's a great example", T, 1 0 0 0
"Things just keep getting better 😀😒 if it ain't one thing it's another I swear.", F, 0 0 1 1
"Aww what a sweet Instagram post that continues to be full of shit☺️ guys like you are my fav😍", F, 0 1 0 1
"No Jude stop being a rebel within a subculture that praises nonconformity 😂 You are messing it all up.", T, 1 0 0 0
"My favorite kind of friend is the ones who only come around when they need something...yeah those people are awesome 👎🏼😒✌🏼️", T, 0 0 1 0
"Just watched the interview, found it hilarious, lighten up America don't take things so serious 😂", T, 1 0 0 0
"Go for a run twice... Get shin splints 😭 there goes my marathon training", T, 0 0 1 1
"Office work, checking supplies &amp; getting bills together. L♥VE the end of the month and it's going to be ☼ 90° F this weekend!", F, 0 1 0 1
"Because, totally, my 42 hips look glorious in bootcut/flares yet horrible in skinny jeans... 😑😑😒😒", T, 0 0 1 0
"Tempat simpan dokumen. Game start! Epic! 👏👏👏", T, 0 0 0 0
"Stop fixing what isn't broken, aka Golf 😒", T, 0 0 1 0
"Because 15 degree inclines are everywhere 😂😂😂", T, 1 0 0 0
"Wow the library parking lot should not be filled up already 😭💀", T, 0 0 1 1
"Rendering my video that was suppose to come out on Monday. 😣 Should be up soon", T, 0 0 1 1
"Nearly 10pm here, late night drink hype ✈ ✈ nightdrink", T, 0 0 0 0
"Stay away from drugs or you may end up like this tard spa king a tree. 👋🏻🚫⁉️👋🏻🚫⁉️", T, 0 1 0 0
"Late dinner with UPH Choir at Semarang Food Square Medan😋", T, 1 0 0 0
"Global market crash will not last long...😳😳 After all...it is made in China..☺☺", F, 1 0 0 0
"😀I got all A's in my music classes 4xA = Happy Me 😀 It is Too to in", T, 1 0 0 0
"🎼 Closer To You | Mousse T. Lovevirds.", T, 0 0 0 0
"Lovely dog walk with the girls....❤️❤️❤️🐶🐶🐶", T, 0 0 0 0
"OMG! I'm just dying! 😂 😂 😂 I with Theo Hutchcraft 😂 😂 😂", F, 0 1 0 0
"umm...Thank you for the introduction bro. HOW the Fuck am I to this? 😮😯😐😑😒 Just like I was late to following you 1st😢😭", T, 0 1 1 1
"and are vital to the of any man. 💯 Hartford/ Bloomfield City…", T, 0 0 0 0
"The TRUMP sign on his podium right now has the T blocked by someone's head rendering it just RUMP😂😂#donaldtrump", F, 0 1 0 0
"Donald Trump states his favorite book is the Bible. 😂😂😂😂#yeahright", F, 0 1 0 0
"😂😂😂😂 SAY NO TO DRUGS... Except Weed🍁 That's What GOD Made Lol", F, 0 1 0 0
"Photo: The type of sh*t that eases my mind. Thank you Most High 🙏🏽", T, 0 0 0 0
"Because Deana calls my dog poochie like I do😂✌🏼️", T, 1 0 0 0
"been getting up for work at 5 for over a year now and never slept in once...until today 😳😩", T, 0 1 1 1
"Happy Birthday BROSKI hope you had a good one man 🙌🏼👌🏼", T, 1 0 0 0
"Our world needs healing! Sending & to Everyone! 🙏❤️🙌", T, 0 0 0 0
"😂😂 Follow me on SnapChat GorgeousBebe12", T, 1 0 0 0
"Remembering the idol of and on her birth anniversary. 🙏🙏", T, 0 0 0 0
"Concerned about this tomato? Find out what happened here 😱🍅🔪https://t.co/bknhPsdFJI", F, 1 0 0 0
"😂 that's good, walking into the office with a smile.", T, 1 0 0 0
"Peace out y'all!!!!! Stay happy peeps😉", T, 1 0 0 0
"Good morning to alll!!!! Happy Wednesday 😊😚 ✌💝", T, 1 0 0 0
"A boss with no is like a job that's no fun." ✔ ✔ ✔ ✔ ✔", T, 0 0 1 0
"I can't speak but I can I can't but I on I don't like but I luv 💜💜", T, 0 0 0 0
"Diet Tip For The Day..........😁👙💪", T, 1 0 0 0
"Music drowns out the thoughts in my head when they become to loud 🎧", T, 0 0 0 0
"Yes Yes Yes!!!!! This is so me this morning 😖😖", T, 0 0 1 1
"😜😁🇯🇵✈ Funny & cute warning label at Kansai Int'l Airport!", T, 1 0 0 0
"If you pull out in front of me and then poke best believe I'm going to ride your bumper! 😡", T, 0 1 0 0
"Jazzman Count Basie serenading Graf (Count in German) ©ChuckFishman1979,2015", T, 0 0 0 0
"Having a balanced breakfast! I ❤️ Then working on the master plan.", T, 1 0 0 0
"G☕️☕️D M☕️RNING! Happy it's Wednesday..still going 2 drink COFFEE 4 a small army! ☕️❤️😊", T, 1 0 0 0
"I can't breathe! 😂😂😂😂 laugh_genius with repostapp.", F, 0 1 0 0
"My moms the type of mom that if her house is dirty she won't take you to school until it is 😴", F, 1 1 0 0
"Everyday with him is a blessing 😍😂", T, 1 0 0 0
"Bitches.....✋👎 who can relate ???", T, 0 1 1 0
"😂😂😂😂😂 you don't have to comment ladies, it's ok....", T, 1 0 0 0
"Beware of Bums dressed in designer clothing. 😂😂😂😂", T, 1 0 0 0
"Maxine's Wisdom . . . Could your stress be diet related ... ⁉️ 😀", T, 1 0 0 0
"I'll just leave this right here ... 😝", T, 1 0 0 0
"Apparently nolita lost every order scheduled for 12:30 pickup. How fun. 😓", T, 0 1 1 1
"Missing this son of a bitch... I mean literally 😂 HAPPY NATIONAL 🐶 DAY SHADSKY!", T, 1 0 0 0
"Zoella is definitely my queen ♥ ♥ I love her . She makes my life better ♥", T, 0 0 0 0
"😈 "May the forces of evil become confused on the way to your house." George Carlin", T, 1 0 0 0
"big boy holding his bottle he has to stop getting big so fast 😢", T, 0 0 0 1
"Dead Dog Down 😂😂😂 Accidentally Hit A Dog. 🙌🏼🙌🏼🙌🏼", F, 0 1 0 1
"We love the in this Nice .@adamsoutdoor! 👍 😄", T, 1 0 0 0
"Loving these dance videos Pastor has posted on FB and Twitter! 😄😄😄😄", T, 1 0 0 0
"Where Do Babies Come From? --That's what I call Humor. Nice Read! via 😃😃", T, 1 0 0 0
"I'll have you know more happens on his block than mine 👊🏼 pigs there all time 🐷🐷", T, 0 1 0 0
"Living with a toddler? Here's the reality😂", T, 1 0 0 0
"Some people are just not meant to be a part of your life. ✌🏼️", F, 0 1 0 0
"We pray for peace🔸and everything returns to its river flow...", T, 0 0 0 0
"I hate guns. I generally like people. Not keen with people having guns. ✌", T, 0 0 0 0
"1⃣➕2⃣➕3⃣ ➕ peanut butter = my tonight...LOL 😂", T, 1 0 0 0
"Goodnight my most excellent friend. ✌️😴🌟", T, 0 0 0 0
"Guess what time it is!? 😂😜 Try to say it without singing it!", T, 1 0 0 0
"It's my daughters first taster day at nursery tomorrow I can't sleep I'm so excited 😂🙊", T, 1 0 0 0
"💗✨🌈✨💗✨🌈✨💗✨🌈✨💗✨🌈✨💗 good morning💕💕💕with loving playing one of my most favorite songs^^💋💕💕💕 💗✨🌈✨💗✨🌈✨💗✨🌈✨💗✨🌈✨💗", T, 0 0 0 0
"Set of mind as your highest goal, and organize your life around it." -Brian Tracy 🙏✨💜…", T, 0 0 0 0
"Want to know "Who is in charge?" Find out ⏩ ⏪ 👉👉 Find and in ^JB", T, 0 0 0 0
"Never stray from the good vibes...✌🏻️#motivation", T, 0 0 0 0
"in by that'd be us on a in "my fellow human beings"! 🌏✌️", T, 0 0 0 0
"I love RED, because to me it represents MORE than just LOVE. Just a quote I made up while dancing ✌", T, 0 0 0 0
"National dog day n missin my bad ass bitches :,( ❤️💔💔💔", T, 0 1 0 1
"Everything is going to be ok....in fact it already is 😊 & keep listening to "to Zion" so dope 😁", T, 1 0 0 0
"✏ "I am constantly amazed by Tina Fey. And I am Tina Fey." Tina Fey", T, 0 0 0 0
"Oh corrupting my daughter with this 😂😭🙈", F, 1 1 0 0
"Want to know "Who is in charge?" Find out ⏩ ⏪ 👉👉 Find and in ^JB", T, 0 0 0 0
"[NEWS] GD with Kiko is broke up so coming soon "GD and Raline Shah" Indonesian artist 😄 lol", T, 1 0 0 0
"What are you doing to improve your world? 🌍🌎🌏🌹❤✌", T, 0 0 0 0
"Stay silent.. n the haters ain't gonna come next time!! 🙏🙏🙏🙏 n", T, 0 0 0 0
"This is a outfit I designed on Polyvore 💞💞💞💞💞", T, 1 0 0 0
"See the well absolute minimum quietly away re I'm online? I did, I always do! Re's D 👉⌛️🌏✌️", T, 0 0 0 0
"in by that'd be us on a in "my fellow human beings"! 🌏✌️", T, 0 0 0 0
"❤️ your passion new sound Close your eyes and feel your passion", T, 1 0 0 0
"Off to bed... Goodnight y'all! 💤😴🌜", T, 1 0 0 0
"what I see ([all around]) me I feel we do minimum if we are going to turn around & say we do what we do for them! You? 🌏✌️", T, 0 0 0 0
"Any thoughts as to I'm saying to tonight re this one "my fellow human beings"? Regards D outta here gone 👉⌛️🌏✌️👍🔑🔓🌱", T, 0 0 0 0
"I love our world. People are good! 😄", T, 1 0 0 0
"Philippians 4-4-8 is giving me life right now 🙌", T, 1 0 0 0
"I was about to tweet something very negative but then remembered good vibes only ✌🏼️", T, 0 0 0 0
"Learning the art of letting go is important 🙏", T, 0 0 0 0
"🍷 “Even if you’re on the right track, you’ll get run over if you just sit there.” Will Rogers", T, 0 0 0 0
"Good night World...#beach to y'all 🙏🏻😴💤 The Beach", T, 1 0 0 0
"💥👊🏼 Alone in the gym 💥💪🏼😜 doing my cardio biking 😅💦💦🚴🏼 and you guys?! ✌🏼️enjoy your day ! 🙏🏼🌍…", T, 1 0 0 0
"Can't forget little mama ☺️ Wokcano Santa Monica", T, 1 0 0 0
"everything's gonna be alright.. 🙌🙌🙌😰😰😰👯", T, 1 0 0 0
"To this cute customised beanie 💙💛❤️", T, 1 0 0 0
"Ready to celebrate my 21st ! 😍😍🎉🎈🎊🎂💥🎁❤️", T, 1 0 0 0
"🍂🍃 Find your Inner FAE with ~ Link in Profile to SHOP", T, 0 0 0 0
"Good SUNSHINE morning everyone! ☁️☀️⛅️🍂🍃🙌🏼😊😉", T, 1 0 0 0
"Insta I never thought that even ill have one😊 feather for life", F, 0 1 1 0
"Hello world!How we live this new day,is how we live our life!What we choose to think is what we will get in real! ❤️🌹", T, 1 0 0 0
